OBJECTID,FloodPlainSource,Watershed,Shape__Area,Shape__Length
5092,Engineered,Mimico Creek,49923.8234863281,1754.76144139494
5093,Engineered,Mimico Creek,217564.614990234,3527.25821853275
5094,Engineered,Mimico Creek,92591.7055664062,1407.95551668998
5095,Engineered,Mimico Creek,60738.8137207031,1699.84752415201
5096,Engineered,Mimico Creek,70344.9030761719,1548.36657081253
5097,Engineered,Mimico Creek,4347.53588867188,458.881279472982
5098,Engineered,Mimico Creek,3750.51928710938,354.278402397248
5099,Engineered,Mimico Creek,1474.37255859375,176.083554431317
5102,Engineered,Mimico Creek,359.024658203125,78.4060845002458
5103,Engineered,Mimico Creek,31527.3256835938,1150.94845882531
5104,Engineered,Mimico Creek,15268.3833007812,528.201876846905
5105,Engineered,Mimico Creek,62411.4174804688,1639.17961533892
5106,Engineered,Mimico Creek,34140.1052246094,1136.25892805324
5107,Engineered,Mimico Creek,427.326171875,89.6087651506742
5108,Engineered,Don River,344270.272460938,8658.94777478887
5109,Engineered,Don River,914988.506591797,21601.2780402354
5110,Engineered,Don River,763643.486328125,29225.73531736
5111,Engineered,Don River,12809.5031738281,796.874320239389
5112,Engineered,Don River,8725.11889648438,501.137590117254
5113,Engineered,Don River,17374.7568359375,880.417437726199
5114,Engineered,Don River,167178.189697266,4568.75818630832
5115,Engineered,Don River,53786.0966796875,2165.53112558232
5116,Engineered,Don River,10002.3698730469,440.548323591422
5117,Engineered,Don River,119781.573730469,3341.87455789505
5118,Engineered,Don River,7885.86645507812,505.649444662196
5119,Engineered,Don River,209106.424804688,6031.7785590606
5120,Engineered,Don River,6027.58471679688,693.394249494845
5121,Engineered,Don River,1359,431.026743792699
5122,Engineered,Don River,19733.3232421875,553.829759738058
5123,Engineered,Don River,10278.4753417969,1307.37039735058
5124,Engineered,Don River,1804.15942382812,375.317316553105
5125,Engineered,Don River,29918.1115722656,1732.06741207596
5126,Engineered,Don River,1190.89770507812,287.64826188364
5127,Engineered,Don River,7550.55249023438,471.304854662359
5128,Engineered,Don River,327281.763427734,12137.6234885033
5129,Engineered,Don River,9196.48852539062,896.141586707402
5130,Engineered,Don River,864.59130859375,142.880268230518
5132,Engineered,Don River,187295.660400391,5125.76520446251
5133,Engineered,Don River,55493.8461914062,1389.77706625293
5134,Engineered,Don River,411981.368652344,18978.5692320447
5135,Engineered,Don River,1144480.21728516,42142.3193392569
5136,Engineered,Don River,259519.094238281,6133.6418158583
5137,Engineered,Don River,733565.096923828,17159.0647700567
5138,Engineered,Don River,14341.6723632812,927.34193369431
5139,Engineered,Don River,4547.267578125,275.634984300277
5140,Engineered,Don River,4483.20190429688,372.865386105828
5141,Engineered,Don River,23691.904296875,2253.84404353018
5142,Engineered,Don River,13602.6865234375,1522.30846180953
5143,Engineered,Don River,142535.504150391,7743.47782257323
5144,Engineered,Don River,32536.6491699219,1343.52448356951
5145,Engineered,Don River,101261.959228516,5611.60431193831
5146,Engineered,Don River,26099.4719238281,2641.37114057027
5147,Engineered,Don River,26729.4111328125,1278.35992801393
5148,Engineered,Don River,10728.8879394531,1393.5373711567
5149,Engineered,Don River,9771.12280273438,1059.2486436249
5150,Engineered,Don River,55645.990234375,3705.8440168392
5151,Engineered,Don River,198154.456787109,9262.41330565878
5152,Engineered,Don River,10357.7407226562,1623.40475448048
5153,Engineered,Don River,98211.427734375,2978.85066801976
5154,Engineered,Don River,67613.4196777344,3185.3175815599
5155,Engineered,Don River,43546.2153320312,3119.532301547
5156,Engineered,Don River,13015.6110839844,1414.13839142899
5157,Engineered,Don River,42200.3701171875,1957.07749509478
5158,Engineered,Don River,69872.2073293328,3888.30371217208
5159,Engineered,Don River,13685.8405761719,1161.02314769702
5160,Engineered,Don River,21501.7009277344,1377.42980742067
5161,Engineered,Don River,9093.88012695312,1016.91311079073
5162,Engineered,Don River,2096.59375,236.312036075154
5163,Engineered,Don River,46307.8388671875,1841.87635384491
5164,Engineered,Don River,199.35546875,68.5558242323307
5166,Engineered,Don River,4852.0849609375,426.328511204872
5167,Engineered,Don River,12845.8818359375,879.238199363354
5168,Engineered,Don River,2064.34619140625,223.886068824955
5169,Engineered,Don River,21848.8176269531,1014.36903258187
5170,Engineered,Don River,179856.473876953,7783.21561932478
5171,Engineered,Don River,25417.8806152344,2280.44705170168
5172,Engineered,Don River,18015.2561035156,897.053107646745
5173,Engineered,Don River,402617.953125,20182.5789842763
5174,Engineered,Don River,49496.9094238281,2779.78355857719
5175,Engineered,Don River,1068769.62915039,33884.4976562064
5176,Engineered,Don River,31514.1469726562,1856.24387797194
5177,Engineered,Don River,34516.7463378906,2391.00814910835
5178,Engineered,Don River,9747.8544921875,605.793599607262
5179,Engineered,Don River,51880.7705078125,3714.64894654866
5180,Engineered,Don River,23842.0971679688,1795.78701634736
5181,Engineered,Don River,151418.670410156,4208.910778198
5182,Engineered,Don River,13415.173828125,547.958341327148
5183,Engineered,Don River,44435.048828125,2636.89944213341
5184,Engineered,Don River,6187.4482421875,418.059773056101
5185,Engineered,Don River,124588.875,3834.70903823359
5186,Engineered,Don River,490527.155517578,12058.9107645491
5188,Engineered,Don River,31897.0791015625,3048.48281019021
5189,Engineered,Don River,12707.888671875,991.612351415153
5190,Engineered,Don River,3427.5458984375,317.641715511429
5192,Engineered,Don River,128943.880371094,5369.11631220812
5193,Engineered,Don River,19069.6140136719,671.790504714038
5194,Engineered,Don River,49617.6027832031,2115.16452392427
5195,Engineered,Don River,113566.594726562,5107.36945737716
5196,Engineered,Don River,3506.61450195312,340.616220549014
5197,Engineered,Don River,1646.54125976562,181.908900277947
5200,Engineered,Duffins Creek,3184253.16113281,30317.4532156942
5201,Engineered,Duffins Creek,1461882.55053711,15098.479073987
5203,Estimated,Duffins Creek,29752.2841796875,3432.77015341315
5204,Engineered,Duffins Creek,147619.316650391,6702.82315130039
5205,Engineered,Duffins Creek,1606.30151367188,149.484339304649
5206,Engineered,Duffins Creek,82807.1047363281,6008.98502651749
5208,Engineered,Duffins Creek,41507.666015625,1790.43630847669
5209,Engineered,Duffins Creek,98671.6418457031,5185.99736663601
5210,Engineered,Duffins Creek,118521.724121094,3337.85296695999
5211,Engineered,Duffins Creek,72481.4362792969,3626.33255181129
